reaction-ID,reaction-name,no-components,reaction-space,total-synthons,description,tags
281630,Radd-160-Ugi-T,3,1050,43105,Ugi-4CR reaction with TMS-azide as acid leading to 5-(aminomethyl)tetrazoles,"#heterocyclization, #isonitrile MCR, #tetrazole"
282030,Radd-168-Ar-Ar,3,1050,39351,Amine arylation with aryl di-halide followed by arylation with another amine,#arylation
282070,R192-CARBAMATE,2,0,64135,Carbamate formation from amines and chlorocarbonates,#acylation
282150,R071a-Rd-Ar,3,1055,15385,Reductive amination of aldehyde followed by arylation with aryl halide,"#arylation, #reductive amination"
282151,R071b-Rd-Ac,3,1050,57608,Reductive amination of an aldehyde followed by acylation with a carboxylic acid,"#acylation, #reductive amination"
282152,R071c-Rd-Sac,3,1055,18732,,
282153,R071d-Rd-Ur,3,1050,14951,Reductive amination of an aldehyde followed by urea formation,"#reductive amination, #urea"
282154,R071e-Rd-Carbamate,3,1055,14946,,
282155,R071f-Rd-Rd,3,1050,20784,Double reductive amination with two different aldehydes,#reductive amination
282156,R071g-Rd-Ur1,3,1050,17400,Reductive amination of an aldehyde followed by urea formation,"#reductive amination, #urea"
282157,R071h-Rd-Ur4,3,1055,17970,Sequential reductive amination and urea formation; High nucleophilic primary amine on second stage;,"#reductive amination, #urea"
282270,VINYLSULFAMIDE,2,0,50540,Vinylsulfonamide formation from amine.,"#covalent binder, #sulfacylation"
282410,Radd-173-Split-Ugi,4,1055,20743,Ugi-type MCR with symmetrical secondary diamine,#isonitrile MCR
282490,Radd-176-Ugi-MF,3,1050,19691,Ugi-3CR reaction with sec-amines leading to the formation of alpha-aminoamides,#isonitrile MCR
282512,Radd-178-AT-Click,2,1050,24283,Azide formation from primary amine followed by cyclization to triazole with acetylene,"#click, #triazole"
282530,Radd-179-SAc-Alk,3,0,13113,"Acylation of NH2-sulfamide with chloroacetyl chloride, followed by alkylation of amine","#acylation, #alkylation"
282730,Radd-190-GBB,3,0,4788,"GBB-3CR reaction between alpha-aminoheterocycle, aldehyde and isonitrile","#amine, #heterocyclization, #isonitrile MCR"
282770,Boc-AMIDEMSCl,2,0,60825,Two-stage: 1) acylation with MsCl; 2) Boc-deprotection,"#acylation, #amine"
282890,R194a-Lactim-Boc-Ac,3,1050,45801,"Triazole formation from lactim ester and hydrazide, followed by acylation with an acid","#acylation, #heterocyclization, #triazole"
282910,Radd-196-Thzl-Boc-Ac,3,1050,34545,"Thiazole formation from thioamide/urea and halo ketone, followed by acylation with acid","#acylation, #thiazole"
282970,R194b-Lactim-Boc-Ur1,3,1050,3397,"Triazole formation from lactim ester and hydrazide, followed by urea formation","#heterocyclization, #triazole, #urea"
282971,R194c-Lactim-Boc-Alk,3,1050,2433,Triazole formation from lactim ester followed by BOC-deprotection and alkylation,"#alkylation, #heterocyclization, #triazole"
282972,R194d-Lactim-Boc-Sac,3,1050,2595,"Triazole formation from lactim ester and hydrazide, followed by sulfacylation.","#heterocyclization, #sulfacylation, #triazole"
283070,Radd-202-Thzl-Boc-SO2N,3,1055,4323,"Thiazole formation from thioamide/urea and alkyl ketone, followed by sulfacylation","#sulfacylation, #thiazole"
283090,Radd-203-Ugi-3CR-CA,3,1050,21109,Ugi reaction with keto acids towards gamma- and delta-lactams,"#heterocyclization , #isonitrile MCR"
283110,Radd-204-Ugi-3CR-AA,3,1050,6362,Ugi reaction with amino acids leading to beta-lactams,"#heterocyclization, #isonitrile MCR"
283351,R198a-OXOISOINDOLE-Boc-Ac,3,1050,27187,Oxoisoindole formation / Boc cleavage / acylation with a carboxylic acid.,"#acylation, #heterocyclization, #reductive amination"
